1,1,1,1,1,M4058-03-8,R-606100547,P
2,1,2,1,2,MM-SW-215,,P
3,1,3,1,3,D88999/35WH24SN,R-684751204,S
4,1,4,1,,,,
5,1,5,1,,,,
6,1,6,1,,,,
7,1,7,1,,,,
8,1,8,1,,,,
9,1,9,1,,,,
10,1,10,1,,,,
11,1,11,1,,,,
12,1,12,1,,,,
13,1,13,1,,,,
14,1,14,1,,,,
15,1,15,1,,,,
16,1,16,1,,,,
17,2,A,1,,,,
18,2,B,1,,,,
19,2,C,1,,,,
20,2,D,1,,,,
21,2,E,1,,,,
22,3,1,1,,,,
23,3,2,1,,,,
24,3,3,1,,,,
25,3,4,1,,,,
26,3,5,1,,,,
27,3,6,1,,,,
28,3,7,1,,,,
29,3,8,1,,,,
30,3,9,1,,,,
31,3,10,1,,,,
32,3,11,1,,,,
33,3,12,1,,,,
34,3,a_,1,,,,
35,3,b_,1,,,,
36,3,c_,1,,,,
37,1,BODY,1,,,,
38,2,BODY,1,,,,
39,3,BODY,1,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
